symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nnfcpo,Narayani National Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nnfcpo,1,2015-05-24,130.00,132.00,132.00,132.00,0.00,"30,000.00","3,960,000.00"
nnfcpo,Narayani National Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nnfcpo,2,2015-03-02,130.00,130.00,130.00,130.00,0.00,"30,000.00","3,900,000.00"
nnfcpo,Narayani National Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nnfcpo,3,2014-12-08,124.00,130.00,126.00,130.00,0.00,"78,000.00","10,066,000.00"
nnfcpo,Narayani National Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nnfcpo,4,2014-10-09,124.00,124.00,124.00,124.00,0.00,"6,000.00","744,000.00"
nnfcpo,Narayani National Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nnfcpo,5,2014-06-15,122.00,124.00,122.00,124.00,0.00,"8,000.00","984,000.00"
nnfcpo,Narayani National Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nnfcpo,6,2013-09-24,60.00,0.00,0.00,60.00,0.00,"7,684.00","261,256.00"
nnfcpo,Narayani National Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nnfcpo,7,2013-08-25,60.00,0.00,0.00,60.00,0.00,"30,739.00","1,844,340.00"
nnfcpo,Narayani National Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nnfcpo,8,2012-06-03,116.00,39.00,38.00,39.00,0.00,"372,098.00","14,357,270.00"
nnfcpo,Narayani National Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nnfcpo,9,2012-01-11,118.00,116.00,116.00,116.00,0.00,"1,900.00","220,400.00"
nnfcpo,Narayani National Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nnfcpo,10,2011-07-14,118.00,118.00,118.00,118.00,0.00,"5,321.00","627,878.00"
nnfcpo,Narayani National Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/nnfcpo,11,2011-03-30,119.00,118.00,118.00,118.00,0.00,"22,078.00","2,605,204.00"
