symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,1,2025-05-27,589.00,589.00,589.00,589.00,0.00,"18,748.00","3,468,380.00"
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,2,2025-03-24,589.00,589.00,589.00,589.00,0.00,"12,500.00","7,362,500.00"
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,3,2025-01-22,589.00,589.00,589.00,589.00,0.00,"1,500.00","883,500.00"
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,4,2023-11-02,336.00,336.00,336.00,336.00,0.24,"3,100.00","1,041,600.00"
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,5,2023-11-01,335.20,335.20,335.20,335.20,-1.99,"6,600.00","2,212,320.00"
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,6,2023-09-18,342.00,342.00,342.00,342.00,0.00,"5,000.00","1,710,000.00"
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,7,2023-03-28,415.00,415.00,415.00,415.00,0.00,"3,720.00","1,543,800.00"
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,8,2023-01-18,480.00,480.00,480.00,480.00,0.00,"1,600.00","768,000.00"
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,9,2023-01-01,480.00,480.00,480.00,480.00,0.00,"4,100.00","1,968,000.00"
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,10,2022-12-21,480.00,480.00,480.00,480.00,-1.64,"1,130.00","542,400.00"
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,11,2022-11-24,488.00,488.00,488.00,488.00,0.00,"9,600.00","4,684,800.00"
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,12,2022-03-02,693.00,693.00,693.00,693.00,0.00,"8,000.00","5,544,000.00"
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,13,2021-11-25,785.00,785.00,785.00,785.00,0.00,"2,000.00","1,570,000.00"
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,14,2021-11-03,785.00,785.00,785.00,785.00,0.00,"1,000.00","785,000.00"
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,15,2021-09-07,785.00,785.00,785.00,785.00,0.00,"2,000.00","1,570,000.00"
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,16,2021-08-26,785.00,785.00,785.00,785.00,0.00,"8,000.00","6,280,000.00"
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,17,2021-07-15,785.00,785.00,785.00,785.00,0.00,"17,820.00","13,988,700.00"
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,18,2021-04-01,710.00,710.00,710.00,710.00,0.00,"3,000.00","2,130,000.00"
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,19,2019-04-03,438.00,438.00,438.00,438.00,-50.62,"6,000.00","2,628,000.00"
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,20,2018-02-08,870.00,887.00,887.00,887.00,0.00,"5,000.00","4,435,000.00"
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,21,2017-04-13,800.00,800.00,800.00,800.00,0.00,"70,000.00","56,000,000.00"
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,22,2017-02-07,800.00,800.00,800.00,800.00,0.00,"6,000.00","4,800,000.00"
kmcdbp,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kmcdbp,23,2017-02-06,800.00,800.00,800.00,800.00,0.00,"7,000.00","5,600,000.00"
